"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"CEN21LA084","ACC","102399","2020-12-10T10:30:00Z","Colorado City","Texas","United States","","N7085Z","FALSE","DirectorBrief","2023-02-08T05:00:00Z","Fatal","2","0","0","The pilot’s loss of control and exceedance of performance and/or structural limitations during low-altitude operations, which resulted in an inflight breakup.. Contributing to the accident was the pilot’s impairment from the effects of tetrahydrocannabinol.","","32.315621","-100.94719","ROBINSON","R44","HELI","","","FALSE","1","","BUS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=102399","2/8/2023 7:00:00 PM",
"WPR21WA065","ACC","102369","2020-12-02T17:30:00Z","Tallong","","Australia","","VH-HGU","FALSE","None","","Fatal","2","0","0","","","-34.722075","150.074494","ROBINSON","R44","HELI","","","FALSE","1","","","UNK","Destroyed","","Unknown","N/A","FALSE","","",
"CEN21WA063","ACC","102303","2020-11-12T13:53:00Z","Avoch","","United Kingdom","","G-CKYT","FALSE","None","","Fatal","1","0","0","","","0","0","Rotorsport UK","Cavalon","HELI","","","FALSE","1","","","UNK","Destroyed","","","N/A","FALSE","","",
"GAA21WA002","ACC","102216","2020-10-15T11:00:00Z","Passa Tres, Rio Claro","","Brazil","","PR-ESK","FALSE","None","","Fatal","2","0","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","","","","NUSN","Substantial","","Kiko Genario Ferreira De Melo","N/A","FALSE","","",
"CEN20LA400","ACC","101992","2020-09-19T13:56:00Z","Red Bud","Illinois","United States","","N60WD","FALSE","DirectorBrief","2022-06-28T04:00:00Z","Fatal","1","0","0","A loss of control for reasons that could not be determined.","","38.211666","-90.014999","Safari","S","HELI","PVT","N/A","TRUE","1","","PERS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101992","6/15/2022 7:00:00 PM",
"WPR20LA283","ACC","101856","2020-08-24T18:00:00Z","Pine Grove","Oregon","United States","","N314","FALSE","DirectorBrief","2023-04-26T04:00:00Z","Fatal","1","0","0","An in-flight breakup resulting from contact of the left rotor system with the right rotor system after an in-flight failure of a servo flap from a left rotor blade.","","45.170326","-121.54867","Kaman","K 1200","HELI","","","FALSE","1","","FIRF","133","Substantial","VMC","Central Copters Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101856","4/26/2023 5:00:00 PM",
"WPR20LA280","ACC","101831","2020-08-19T09:45:00Z","Coalinga","California","United States","","N711GH","FALSE","DirectorBrief","2023-06-14T04:00:00Z","Fatal","1","0","0","The pilot’s inability to maintain control of the helicopter due to a hydraulic system failure for reasons that could not be fully determined due to the thermal destruction from the postimpact fire.","","35.969165","-120.3225","Arrow-Falcon Exporters, Inc.","UH-1H","HELI","","","FALSE","1","","FIRF","PUBU","Destroyed","VMC","Guardian Helicopters Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101831","6/14/2023 5:00:00 PM",
"CEN20LA328","ACC","101760","2020-08-08T11:00:00Z","Marathon","Texas","United States","","N284S","FALSE","DirectorBrief","2023-06-14T04:00:00Z","Fatal","3","1","0","The in-flight loss of helicopter control for reasons that could not be determined based on the available evidence.","","30.191667","-103.21028","Bell","206","HELI","","","FALSE","1","","OWRK","091","Destroyed","VMC","Southwest Heliservices Llc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101760","3/4/2022 5:00:00 PM",
"ERA20LA273","ACC","101730","2020-08-03T19:41:00Z","Knoxville","Tennessee","United States","","N55GJ","FALSE","DirectorBrief","2022-06-28T04:00:00Z","Fatal","1","0","0","The pilot's entry into vortex ring state and his inability to arrest the helicopter's descent while maneuvering for landing.","","35.945278","-83.95639","Eurocopter","EC130","HELI","","","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101730","6/23/2022 4:00:00 AM",
"CEN20LA304","ACC","101666","2020-07-24T13:16:00Z","Monrovia","Indiana","United States","","N383ES","FALSE","DirectorBrief","2022-08-16T04:00:00Z","Fatal","1","0","0","The pilot’s loss of control after takeoff for reasons that could not be determined based on the available information.","","39.570869","-86.500274","Brantly","B2B","HELI","PVT","Private","FALSE","1","NSCH","FLTS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101666","7/26/2022 4:00:00 AM",
"GAA20WA118","ACC","101643","2020-07-20T18:15:00Z","Thorburn Lake","","Canada","","C-FPBL","FALSE","None","","Fatal","1","2","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","","","","NUSN","Substantial","","","N/A","FALSE","","",
"WPR20LA224","ACC","101619","2020-07-17T08:54:00Z","Mehama","Oregon","United States","","N2297W","FALSE","DirectorBrief","2022-09-07T04:00:00Z","Fatal","1","0","0","An in-flight separation of a tail rotor blade due to fatigue cracking and overstress, which resulted in a loss of directional control and subsequent ground impact.","","44.794723","-122.61916","Hiller","UH 12D","HELI","","","FALSE","1","","AAPL","137","Destroyed","VMC","Western Helicopter Service Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101619","8/30/2022 11:00:00 AM",
"WPR20LA211","ACC","101560","2020-07-07T12:13:00Z","Payson","Arizona","United States","","N623PB","FALSE","DirectorBrief","2022-09-14T04:00:00Z","Fatal","1","0","0","A flight control malfunction due to either a hydraulic hardover or a flight control stiffness event, which resulted in a loss of control.","","34.271945","-111.52749","BELL","UH1H","HELI","","","FALSE","1","","EXLD","133","Destroyed","VMC","Airwest Helicopters LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101560","9/7/2022 11:00:00 AM",
"WPR20WA210","ACC","101556","2020-07-04T04:00:00Z","Broome Aerodrome","","Australia","","VH-NBY","FALSE","None","","Fatal","2","2","0","","","-17.949722","122.231109","ROBINSON","R44","HELI","","Broome International Airport","FALSE","1","","","UNK","Substantial","Unknown","","N/A","FALSE","","",
"GAA20WA113","ACC","101541","2020-06-30T04:00:00Z","Strzegom city","","Poland","","SP-HBOG","FALSE","None","","Fatal","2","0","0","","","0","0","ROBINSON","R22","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"WPR20LA191","ACC","101480","2020-06-23T17:01:00Z","Hayden","Idaho","United States","","N280MM","FALSE","DirectorBrief","2022-08-16T04:00:00Z","Fatal","1","1","0","The total loss of power while maneuvering at low altitude due to the detonation of two engine cylinders and damaged spark plugs.","","47.775001","-116.89555","Enstrom","280","HELI","","","FALSE","1","","INST","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101480","7/28/2022 2:00:00 PM",
"ERA20LA220","ACC","101458","2020-06-18T17:00:00Z","Pikeville","North Carolina","United States","","N4QW","FALSE","DirectorBrief","2022-09-07T04:00:00Z","Fatal","1","0","0","The pilot’s failure to see and avoid a small diameter wire during low altitude agricultural spraying operations. Contributing to the accident was the pilot’s insufficient property survey.","","35.444721","-77.925003","Robinson","R66","HELI","","","FALSE","1","NSCH","AAPL","137","Substantial","VMC","KRITTER CROPDUSTING INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101458","8/31/2022 7:00:00 PM",
"WPR20WA186","ACC","101457","2020-06-17T14:50:00Z","Gauteng","","South Africa","","ZT-RHC","FALSE","None","","Fatal","2","0","0","","","-25.98611","28.136388","BELL","206","HELI","","","FALSE","","","","091","Destroyed","","","N/A","FALSE","","",
"WPR20LA163","ACC","101367","2020-06-02T12:50:00Z","Fairfield","California","United States","","N65PJ","FALSE","DirectorBrief","2023-03-22T04:00:00Z","Fatal","3","0","0","The pilot’s failure to maintain adequate clearance from powerlines while conducting external load operations, which resulted in the main rotor contacting a wire and a subsequent collision with terrain.","","38.309722","-122.03388","Bell","206","HELI","","","FALSE","1","","EXLD","133","Substantial","VMC","P J Helicopters Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101367","3/22/2023 5:00:00 PM",
"ERA20LA197","ACC","101340","2020-05-30T11:32:00Z","Ozark","Alabama","United States","","N9421P","FALSE","DirectorBrief","2022-07-12T04:00:00Z","Fatal","1","0","0","A total loss of engine power due to fuel exhaustion. Contributing to the accident was the flight school’s inadequate maintenance of the helicopter’s fuel quantity and caution systems.","","31.441389","-85.638336","Schweizer","269C-1","HELI","71J","Ozark-Blackwell Field","FALSE","1","","INST","091","Destroyed","VMC","Eagle Aviation Academy LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101340","6/30/2022 7:00:00 PM",
"CEN20LA167","ACC","101226","2020-05-02T02:03:00Z","HOUSTON","Texas","United States","","N8375F","FALSE","DirectorBrief","2022-10-05T04:00:00Z","Fatal","1","1","0","An uncommanded right yaw that occurred for reasons that could not be determined based on the available evidence, which resulted in a loss control.","","29.947221","-95.395835","MD HELICOPTER","369","HELI","","","FALSE","1","","PUBL","PUBU","Substantial","VMC","City Of Houston","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101226","3/4/2022 5:00:00 PM",
"ANC20WA072","ACC","101706","2020-05-01T04:00:00Z","Cheonwangbong","","Republic Of Korea","","HL9646","FALSE","None","","Fatal","2","0","0","","","0","0","SIKORSKY","S76","HELI","","","FALSE","","","","UNK","Substantial","","","N/A","FALSE","","",
"WPR20LA130","ACC","101204","2020-04-24T16:00:00Z","Mesa","Arizona","United States","","N3276T","FALSE","DirectorBrief","2022-05-03T04:00:00Z","Fatal","1","1","0","An in-flight separation of the tail rotor gearbox from the airframe due to fatigue failure of the gearbox attachment studs, resulting in a loss of directional control and subsequent ground impact. Contributing to the accident were 1) the improper application of paint on the clamping surfaces between the tail rotor gearbox and the vertical stabilizer that led to the initiation of fatigue fractures on the gearbox attachment studs and 2) the lack of a requirement to check the torque of the gearbox attachment hardware after installation of a gearbox onto the airframe.","","33.386112","-111.805831","Bell","UH 1H","HELI","","","FALSE","1","","POSI","091","Substantial","VMC","Southwest Rotors","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101204","4/19/2022 2:00:00 PM",
"ERA20WA154","ACC","101187","2020-04-20T11:50:00Z","del Curepto","","Chile","","CC-CBB","FALSE","None","","Fatal","1","0","0","","","0","0","GARLICK","UH1H","HELI","","","FALSE","","","OWRK","NUSN","Substantial","","Sociedad Aero Flight Services S.A","N/A","FALSE","","",
"CEN20LA136","ACC","101136","2020-03-31T16:26:00Z","Audubon","Iowa","United States","","N107EH","FALSE","DirectorBrief","2022-03-11T05:00:00Z","Fatal","2","0","0","The pilot’s failure to recognize and avoid the power line during the low-altitude flight. Contributing to the accident was the pilot’s fatigue, which affected the pilot’s ability to see and avoid the power line.","","41.659911","-94.763558","ROBINSON HELICOPTER COMPANY","R44 II","HELI","","","FALSE","1","","AOBV","091","Destroyed","VMC","Ride the Sky Helicopters","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101136","2/9/2022 5:00:00 AM",
"ERA20WA137","ACC","101117","2020-03-24T20:45:00Z","Chicureo","","Chile","","CC-ARR","FALSE","None","","Fatal","1","0","0","","","-33.270557","70.650558","BELL","206","HELI","SCHC","Chicureo Airport","FALSE","1","NSCH","","UNK","Destroyed","VMC","","N/A","FALSE","","",
"ANC20WA035","ACC","101103","2020-03-23T04:00:00Z","Konstantinovsky Cape","","Russia","","RA-01917","FALSE","None","","Fatal","1","1","0","","","0","0","BELL","206","HELI","","","FALSE","","","","UNK","","","","N/A","FALSE","","",
"ANC20WA031","ACC","101060","2020-02-28T17:13:00Z","Astrakhan","","Russia","","RA-04246","FALSE","None","","Fatal","1","0","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","","","","UNK","Substantial","","","N/A","FALSE","","",
"CEN20FA098","ACC","100982","2020-02-24T00:08:00Z","North Manchester","Indiana","United States","","N840GS","FALSE","DirectorBrief","2022-03-11T05:00:00Z","Fatal","1","0","0","The pilot’s loss of control for reasons that could not be determined based on the available information.","","40.998054","-85.825553","INNOVATOR","Mosquitto","HELI","N/A","Private","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100982","11/18/2021 5:00:00 AM",
"ANC20WA019","ACC","100927","2020-02-07T05:00:00Z","Laishevo","","Russia","","RA-01893","FALSE","None","","Fatal","1","2","0","","","0","0","BELL","407","HELI","","","FALSE","","","","UNK","Substantial","","","N/A","FALSE","","",
"DCA20MA059","ACC","100863","2020-01-26T11:45:00Z","Calabasas","California","United States","AAR2101","N72EX","TRUE","Report","2021-03-02T05:00:00Z","Fatal","9","0","0","The pilot’s decision to continue flight under visual flight rules into instrument meteorological conditions, which resulted in the pilot’s spatial disorientation and loss of control. Contributing to the accident was the pilot’s likely self-induced pressure and the pilot’s plan continuation bias, which adversely affected his decision-making, and Island Express Helicopters Inc.’s inadequate review and oversight of its safety management processes.","","34.110691","-118.67092","Sikorsky","S76","HELI","","","FALSE","","NSCH","","135","Destroyed","IMC","Island Express","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100863","6/17/2020 6:00:00 PM",
"CEN20WA102","ACC","101000","2020-01-25T19:58:00Z","Tuzantan","","Mexico","","XB-KQV","FALSE","None","","Fatal","1","0","0","","","15.191944","-92.355003","ROBINSON","R44","HELI","","","FALSE","","","","NUSN","Substantial","","","N/A","FALSE","","",
"ERA20FA074","ACC","100796","2020-01-09T22:29:00Z","Mechanicsburg","Pennsylvania","United States","","N450MC","FALSE","DirectorBrief","2022-06-28T04:00:00Z","Fatal","2","0","0","A severe left roll excursion after the onset of pitch and roll oscillations, which were not arrested by the pilot for undetermined reasons. This resulted in main rotor blade contact with the airframe and a subsequent inflight breakup of the helicopter.","","40.227779","-77.020278","ROBINSON","R66","HELI","","","FALSE","1","","PERS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100796","6/22/2022 7:00:00 PM",
"ANC20MA010","ACC","100736","2019-12-26T18:57:00Z","Kekaha","Hawaii","United States","AIR2205","N985SA","TRUE","Report","2022-06-01T04:00:00Z","Fatal","7","0","0","The pilot’s decision to continue flight under visual flight rules (VFR) into instrument meteorological conditions (IMC), which resulted in the collision into terrain. Contributing to the accident was Safari Aviation Inc.’s lack of safety management processes to identify hazards and mitigate the risks associated with factors that influence pilots to continue VFR flight into IMC. Also contributing to the accident was the Federal Aviation Administration’s delayed implementation of a Hawaii aviation weather camera program, its lack of leadership in the development of a cue-based weather training program for Hawaii air tour pilots, and its ineffective monitoring and oversight of Hawaii air tour operators’ weather-related operating practices.","","22.161666","-159.62638","AIRBUS","AS350B2","HELI","","","FALSE","1","NSCH","","135","Destroyed","IMC","Safari Aviation Inc.","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100736","12/15/2021 12:00:00 PM",
"ERA20FA056","ACC","100726","2019-12-25T19:13:00Z","Headland","Alabama","United States","","N663SF","FALSE","DirectorBrief","2022-04-18T04:00:00Z","Fatal","1","0","0","Pilot incapacitation by a sudden cardiac event related to severe coronary artery disease, which resulted in a loss of helicopter control.","","31.364166","-85.3125","Bell","407","HELI","0J6","Headland Municipal","FALSE","1","NSCH","","135","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100726","4/6/2022 4:00:00 AM",
"CEN20FA035","ACC","100671","2019-12-07T11:18:00Z","Gulf of Mexico","Gulf of America","United States","","N79LP","FALSE","DirectorBrief","2021-10-15T04:00:00Z","Fatal","2","0","0","A total loss of engine power due to the failure of the engine’s Nos. 3 and 4 bearings and the power turbine pinion gear, and subsequent loss of main rotor rpm, which resulted in a loss of control and impact with the water.","","28.926708","-89.671936","Bell","407","HELI","","","FALSE","1","NSCH","","135","Destroyed","VMC","Panther Helicopters Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100671","8/26/2021 6:00:00 PM",
"WPR20WA037","ACC","100669","2019-12-05T09:45:00Z","Eschowe","","South Africa","","ZS-RRS","FALSE","None","","Fatal","1","0","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","","","","NUSN","Substantial","","","N/A","FALSE","","",
"ANC20WA008","ACC","100663","2019-11-30T08:40:00Z","Krasnodarsky Krai","","Russia","","RA-05795","FALSE","None","","Fatal","1","0","0","","","0","0","ROBINSON","R66","HELI","","","FALSE","","","","129","Destroyed","","Abrau-Durso Vine Tourism Center LLC","N/A","FALSE","","",
"WPR20WA021","ACC","100555","2019-11-11T11:30:00Z","Tunis","","Tunisia","","TS-HAE","FALSE","None","","Fatal","1","0","0","","","36.886943","10.271666","ROBINSON","R44","HELI","","","FALSE","","","","NUSC","Destroyed","","","N/A","FALSE","","",
"WPR20FA016","ACC","100492","2019-10-25T16:41:00Z","Jordan Valley","Oregon","United States","","N280F","FALSE","DirectorBrief","2022-03-09T05:00:00Z","Fatal","1","1","0","A partial loss of engine power due to a worn engine air induction hose, and a subsequent uncontrolled descent into terrain. Contributing to the accident was the failure of maintenance personnel to adequately inspect the hose, and the pilot’s decision to fly the helicopter at a speed and altitude that provided limited time to enter and establish an autorotation following the loss of power.","","43.394721","-117.04694","Enstrom","280F","HELI","","","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100492","12/16/2021 12:00:00 PM",
"WPR20FA013","ACC","100481","2019-10-23T16:53:00Z","Las Vegas","Nevada","United States","","N225JM","FALSE","DirectorBrief","2023-01-24T05:00:00Z","Fatal","2","0","0","An undetermined inflight event that resulted in the pilot performing an autorotation to uneven terrain for reasons that could not be determined due to the extent of impact damage.","","36.146945","-115.381668","Robinson","R44","HELI","VGT","North Las Vegas","FALSE","1","","PERS","091","Substantial","VMC","Airwork Las Vegas","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100481","12/15/2022 12:00:00 PM",
"CEN20FA012","ACC","100475","2019-10-23T09:46:00Z","Hebbronville","Texas","United States","","N7189D, N74512","FALSE","DirectorBrief","2022-03-04T05:00:00Z","Fatal","2","1","0","The failure of the spotter helicopter pilot to maintain clearance from the gunner helicopter while maneuvering. Contributing to the accident were the effects from the pilot’s use of impairing drugs.","","27.372499","-98.633331","ROBINSON, Robinson","R22 Beta, R22","HELI,HELI","N/A","","FALSE,FALSE","1,1","","BUS,BUS","091,091","Destroyed,Substantial","VMC","South Texas Helicopters Inc,Smith Helicopters Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100475","12/20/2021 5:00:00 AM",
"GAA20WA047","ACC","100498","2019-10-21T11:00:00Z","Tarasenkove","","Ukraine","","UR-KTB","FALSE","None","","Fatal","1","0","0","","","49.54","32.409999","ROBINSON","R44","HELI","","","FALSE","","","PERS","NUSN","Destroyed","","HELICLUB UKRAINE LLC","N/A","FALSE","","",
"ERA20FA012","ACC","100436","2019-10-17T16:38:00Z","New Salem","North Carolina","United States","","N167AG","FALSE","DirectorBrief","2022-04-21T04:00:00Z","Fatal","1","0","0","The pilot's inadequate visual lookout, which resulted in impact with a powerline.","","35.149166","-80.36222","Bell","206","HELI","","","FALSE","1","","AAPL","137","Substantial","VMC","Vertical Flight Technologies","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100436","4/12/2022 7:00:00 PM",
"ANC19WA056","ACC","100623","2019-09-24T20:00:00Z","Campbell River","","Canada","","C-GEBY","FALSE","None","","Fatal","1","0","0","","","0","0","Bell","206","HELI","","","FALSE","","","","UNK","","","","N/A","FALSE","","",
"GAA19WA594","ACC","100645","2019-08-31T16:08:00Z","Alta city","","Norway","","LN-OFU","FALSE","None","","Fatal","1","0","0","","","70.20111","25.033332","AIRBUS","A350","HELI","","","FALSE","","","","NUSN","Destroyed","","Helitrans","N/A","FALSE","","",
"CEN19WA283","ACC","100126","2019-08-25T12:35:00Z","Inca, Mallorca","","Spain","","D-HOTT, EC-GU1","FALSE","None","","Fatal","7","0","0","","","0","0","BELL, AEROPRAKT","206, A22L","HELI,AIR","","","FALSE,FALSE",",","",",","NUSC,NUSN","Destroyed,Destroyed","",",","N/A","FALSE","","",
"GAA19WA540","ACC","100250","2019-08-25T01:30:00Z","Buriti Alegre","","Brazil","","PR-APN","FALSE","None","","Fatal","3","0","1","","","-18.266666","-48.899723","ROBINSON","R44","HELI","","","FALSE","","","","NUSN","Destroyed","","Vitoria Logistica LTDA","N/A","FALSE","","",
"CEN19WA285","ACC","100146","2019-08-24T15:00:00Z","Herisau","","Switzerland","","HB-YKJ","FALSE","None","","Fatal","1","1","0","","","47.377498","9.318611","Rotorway","EXEC 162F","HELI","","","TRUE","","","","UNK","Substantial","","Widmer, Marcel","N/A","FALSE","","",
"ERA19WA261","ACC","100150","2019-08-20T13:37:00Z","Poros","","Greece","","SX-HTO","FALSE","None","","Fatal","3","0","0","","","0","0","Agusta","A109","HELI","","","FALSE","1","","","NUSN","Substantial","","IFLY S.A.","N/A","FALSE","","",
"CEN19FA276","ACC","100089","2019-08-19T19:34:00Z","Viroqua","Wisconsin","United States","","N634SC","FALSE","DirectorBrief","2021-01-28T05:00:00Z","Fatal","1","0","0","The noncertificated pilot's loss of control of the gyrocopter after a total loss of engine power due to seizure of the crankshaft bearings. Contributing to the accident were the insufficient maintenance of the engine and the pilot's lack of gyrocopter flight experience.","","43.582778","-90.914443","SHIRLEY CARL","SPORTCOPTER VORTEX","HELI","Y51","Viroqua Muni","FALSE","1","","PERS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100089","1/8/2021 11:00:00 PM",
"WPR19WA234","ACC","100122","2019-08-02T04:00:00Z","Korotasere, Cakaudrove","","Fiji","","DQ-HPT","FALSE","None","","Fatal","3","0","0","","","-16.556943","179.618606","ROBINSON","R44","HELI","","","FALSE","","","","UNK","","","","N/A","FALSE","","",
"WPR19WA206","ACC","99979","2019-07-30T10:00:00Z","Limpopo Province","","South Africa","","ZS-HGY","FALSE","None","","Fatal","1","1","0","","","-22.695278","29.37861","BELL","47G","HELI","","","FALSE","1","","","UNK","Substantial","VMC","","N/A","FALSE","","",
"ERA19WA236","ACC","99935","2019-07-22T14:57:00Z","Gorgona Island","","Italy","","RA07370","FALSE","None","","Fatal","2","0","0","","","43.330833","9.856666","ROBINSON","R66","HELI","","","FALSE","1","","","NUSN","Destroyed","Unknown","","N/A","FALSE","","",
"WPR19FA188","ACC","99849","2019-07-15T15:26:00Z","Hayward","California","United States","","N144TG","FALSE","DirectorBrief","2021-10-20T04:00:00Z","Fatal","1","1","0","The pilots’ loss of control during a low altitude maneuver for undetermined reasons, which resulted in impact with terrain.","","37.655834","-122.12361","Robinson","R44","HELI","HWD","Hayward Executive","FALSE","1","","INST","091","Substantial","VMC","Pacific Helicopters LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99849","9/29/2021 11:00:00 AM",
"ANC19WA041","ACC","99957","2019-07-14T13:51:00Z","Moscow","","Russia","","RA-1789G","FALSE","None","","Fatal","2","0","0","","","56.104999","46.146945","ROBINSON","R22","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"CEN19WA337","ACC","100649","2019-07-10T17:00:00Z","Mt Tremblank","","Canada","","C-FJLH","FALSE","None","","Fatal","2","0","0","","","0","0","Robinson","R44","HELI","","","FALSE","1","","","NUSN","Destroyed","","","N/A","FALSE","","",
"ERA19FA210","ACC","99766","2019-07-04T02:53:00Z","Big Grand Cay","","Bahamas","","N32CC","FALSE","DirectorBrief","2021-05-27T04:00:00Z","Fatal","7","0","0","The pilots’ decision to takeoff over water in dark night conditions with no external visual reference, which resulted in spatial disorientation and subsequent collision with the water. Also causal was the pilots’ failure to adequately monitor their instruments and respond to multiple EGPWS warnings to arrest the helicopter’s descent. Contributing to the pilots’ decision was external pressure to complete the flight. Contributing to the accident was the pilots’ lack of night flying experience from the island and their inadequate crew resource management.","","27.238056","-78.304443","Agusta","AW139","HELI","","","FALSE","2","","PERS","091","Substantial","VMC","Challenger Management LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99766","8/19/2020 6:00:00 PM",
"CEN19FA185","ACC","99715","2019-06-28T01:40:00Z","Brainerd","Minnesota","United States","","N11NM","FALSE","DirectorBrief","2020-11-19T05:00:00Z","Fatal","2","1","0","The pilot's spatial disorientation during an instrument approach in dark night instrument meteorological conditions, which resulted in a loss of control and subsequent impact with terrain.","","46.403331","-94.128334","AGUSTA","A109","HELI","BRD","Brainerd Lakes Rgnl","FALSE","2","NSCH","","135","Substantial","IMC","North Memorial Healthcare","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99715","10/16/2020 4:30:00 PM",
"WPR19FA175","ACC","99658","2019-06-17T18:30:00Z","Two Harbors","California","United States","","N7187D","FALSE","DirectorBrief","2021-10-20T04:00:00Z","Fatal","1","0","0","The pilot's continued visual flight into instrument meteorological conditions, which resulted in controlled flight into terrain.","","33.462776","-118.57472","Robinson","R44","HELI","","","FALSE","1","","PERS","091","Destroyed","IMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99658","10/1/2021 11:00:00 AM",
"ERA19FA191","ACC","99586","2019-06-10T14:40:00Z","New York","New York","United States","","N200BK","FALSE","DirectorBrief","2022-02-09T05:00:00Z","Fatal","1","0","0","The non-instrument-rated pilot’s decision to initiate the flight into marginal visual flight rules and instrument meteorological conditions, which resulted in spatial disorientation and a subsequent loss of control.","","40.761665","-73.981941","Agusta","A109","HELI","6N5","East 34Th Street","FALSE","2","","EXEC","091","Destroyed","IMC","N200bk Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99586","1/5/2022 5:00:00 AM",
"ERA19WA293","ACC","104902","2019-06-06T10:57:00Z","Kazbegi","","Georgia","","4L-ADJ","FALSE","None","","Fatal","3","0","0","","","42.650465","44.648836","BELL","505","HELI","","","FALSE","1","","","NUSN","Destroyed","","","N/A","FALSE","","",
"CEN19FA160","ACC","99538","2019-06-02T20:50:00Z","Cass","Arkansas","United States","","N41351","FALSE","DirectorBrief","2022-02-09T05:00:00Z","Fatal","3","1","0","A loss of engine power for reasons that could not be determined based on the available information.","","35.705276","-93.794998","Robinson","R44","HELI","","","FALSE","1","","OWRK","091","Substantial","VMC","D & C Aviation Llc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99538","11/9/2021 8:00:00 PM",
"ERA19WA176","ACC","99462","2019-05-21T15:24:00Z","La Vega","","Dominican Republic","","N9956K","FALSE","None","","Fatal","2","1","0","","","19.833055","-70.779724","Bell","206","HELI","","","FALSE","1","","","NUSN","Substantial","","Aircraft Guaranty Corp Trustee","N/A","FALSE","","",
"WPR19WA151","ACC","99453","2019-05-19T18:37:00Z","Tai Po","","China","","B-KTK","FALSE","None","","Fatal","1","0","0","","","22.441667","114.165832","ROBINSON","R44 II","HELI","","","FALSE","","","","UNK","Destroyed","","","N/A","FALSE","","",
"WPR19FA148","ACC","99444","2019-05-17T11:34:00Z","Alpine","Utah","United States","","N744TW","FALSE","DirectorBrief","2021-10-15T04:00:00Z","Fatal","2","0","0","The noninstrument-rated pilot’s continued visual flight rules flight into instrument meteorological conditions, which resulted in spatial disorientation and subsequent loss of control. Contributing to the accident was hypoxia due to the high altitude at which the pilot chose to conduct the flight combined with the impairing effects of amphetamine use.","","40.502498","-111.74388","Robinson","R44","HELI","","","FALSE","1","","PERS","091","Substantial","IMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99444","9/8/2021 11:00:00 AM",
